Pipe Number,Date,Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
P1,2026-05-12,11:20:44,43.8,35.74,37.44,41.02,38.78,38.5,42.86,37.15,42.82,39.29
P2,2026-05-12,11:20:44,38.95,39.96,41.23,35.16,42.31,37.45,42.29,40.14,42.37,37.43
P3,2026-05-12,11:20:44,36.61,42.85,38.95,41.53,41.51,39.75,35.69,39.43,37.52,35.44
P4,2026-05-12,11:20:44,42.01,35.96,37.24,38.72,35.87,40.73,39.98,42.18,42.8,38.61
P5,2026-05-12,11:20:44,40.04,36.99,40.97,40.18,35.97,38.79,43.02,44.43,40.0,39.84
P6,2026-05-12,11:20:44,40.03,36.75,36.12,39.04,42.86,37.9,41.16,36.29,44.29,38.23
P7,2026-05-12,11:20:44,39.08,37.41,41.49,38.33,36.3,36.55,43.79,36.89,38.45,40.36
P8,2026-05-12,11:20:44,41.46,39.79,39.46,40.32,38.51,40.1,39.94,38.88,41.28,38.49
P9,2026-05-12,11:20:44,37.43,44.68,43.64,42.12,36.58,43.82,37.93,42.65,43.12,36.15
P10,2026-05-12,11:20:44,39.5,43.23,40.99,37.39,44.93,42.53,42.25,40.06,39.76,38.82
P1,2026-05-12,11:21:16,44.83,43.49,37.63,44.27,40.12,37.86,38.94,41.23,40.14,37.39
P2,2026-05-12,11:21:16,41.35,44.06,35.56,42.35,44.33,40.49,42.55,38.13,37.92,41.18
P3,2026-05-12,11:21:16,44.99,38.07,44.81,36.97,39.05,36.17,37.54,42.63,44.79,38.83
P4,2026-05-12,11:21:16,43.14,40.56,38.13,42.85,35.99,42.98,38.59,42.75,42.32,37.87
P5,2026-05-12,11:21:16,39.84,37.45,38.55,36.99,43.26,37.19,36.64,36.76,44.89,42.98
P6,2026-05-12,11:21:16,42.61,44.24,40.41,37.77,35.66,41.46,44.98,38.28,43.77,42.1
P7,2026-05-12,11:21:16,43.62,37.55,39.54,41.23,43.78,40.7,44.48,35.94,36.11,37.0
P8,2026-05-12,11:21:16,35.01,37.39,41.0,41.5,35.76,36.42,40.34,36.62,43.04,43.07
P9,2026-05-12,11:21:16,42.02,42.93,35.71,44.31,37.97,38.61,38.7,44.11,38.44,41.08
P10,2026-05-12,11:21:16,36.91,44.71,43.75,44.2,38.31,37.57,44.28,41.09,36.81,40.64
P1,2026-05-12,11:21:48,35.13,38.73,39.0,42.28,41.91,44.88,37.51,41.11,36.47,38.84
P2,2026-05-12,11:21:48,35.7,36.05,39.75,42.55,35.43,43.45,36.21,43.17,35.47,36.16
P3,2026-05-12,11:21:48,41.53,35.81,36.6,42.33,42.73,38.35,39.06,42.13,39.13,41.44
P4,2026-05-12,11:21:48,43.95,39.89,44.39,41.92,37.2,42.48,40.98,38.63,42.8,43.21
P5,2026-05-12,11:21:48,43.16,36.74,40.38,40.23,36.31,38.14,39.54,44.56,43.67,39.81
P6,2026-05-12,11:21:48,42.97,35.75,40.67,38.69,37.67,41.42,40.44,40.05,43.96,36.36
P7,2026-05-12,11:21:48,35.92,35.68,39.65,39.64,42.91,44.95,38.29,43.29,42.98,37.01
P8,2026-05-12,11:21:48,36.99,42.37,35.25,41.26,39.09,41.45,39.4,39.01,41.82,36.44
P9,2026-05-12,11:21:48,43.97,39.63,42.03,38.13,35.21,41.97,39.52,35.31,40.41,42.42
P10,2026-05-12,11:21:48,38.49,42.46,44.52,38.55,37.35,40.2,38.41,36.31,44.69,37.44
P1,2026-05-12,11:22:19,42.49,40.5,42.07,40.83,39.63,40.4,43.42,40.05,37.17,36.95
P2,2026-05-12,11:22:19,38.18,36.6,38.94,43.78,36.39,43.5,35.66,41.35,39.89,40.66
P3,2026-05-12,11:22:19,43.82,42.73,39.24,35.51,44.48,41.16,40.75,44.31,37.98,40.13
P4,2026-05-12,11:22:19,38.62,39.65,44.8,37.44,44.01,38.36,35.5,39.36,44.02,36.51
P5,2026-05-12,11:22:19,42.51,37.64,38.35,37.72,40.77,35.86,40.18,37.27,40.71,36.39
P6,2026-05-12,11:22:19,35.33,40.67,39.07,44.95,44.36,39.7,43.96,40.83,36.38,42.53
P7,2026-05-12,11:22:19,35.98,41.18,36.68,36.3,37.42,42.78,44.2,40.15,39.27,38.3
P8,2026-05-12,11:22:19,44.46,35.26,38.13,40.53,37.59,36.6,39.26,37.35,43.02,43.0
P9,2026-05-12,11:22:19,44.91,40.98,39.19,38.29,42.39,39.96,38.01,36.71,35.53,38.47
P10,2026-05-12,11:22:19,42.81,38.55,37.97,41.18,43.75,44.07,40.94,43.3,43.23,44.53
P1,2026-05-12,11:22:50,35.25,36.96,36.25,40.54,41.23,43.49,40.26,43.38,41.6,38.16
P2,2026-05-12,11:22:50,36.43,42.98,42.02,40.23,43.8,36.0,38.57,44.4,43.48,42.94
P3,2026-05-12,11:22:50,42.35,43.27,39.72,39.13,39.71,41.25,38.94,41.5,43.04,35.37
P4,2026-05-12,11:22:50,42.45,36.53,36.39,44.53,41.0,35.36,40.67,43.59,39.45,41.64
P5,2026-05-12,11:22:50,36.09,37.65,36.24,44.41,43.02,35.9,37.35,36.6,38.33,35.66
P6,2026-05-12,11:22:50,39.62,39.59,36.64,35.47,35.08,40.81,36.6,37.99,39.9,38.72
P7,2026-05-12,11:22:50,39.28,40.72,35.13,35.12,37.32,44.49,35.53,41.6,38.2,38.19
P8,2026-05-12,11:22:50,40.16,35.51,36.81,41.11,42.95,39.78,39.73,39.32,38.32,36.36
P9,2026-05-12,11:22:50,39.5,35.22,36.48,43.77,43.88,44.36,44.5,42.64,43.31,40.31
P10,2026-05-12,11:22:50,39.51,42.27,43.43,41.6,37.14,40.0,36.08,36.67,37.87,35.03
P1,2026-05-12,11:23:22,41.92,38.12,42.29,41.69,43.52,42.22,37.95,39.63,39.75,35.57
P2,2026-05-12,11:23:22,41.58,39.2,42.31,41.81,44.33,44.56,37.97,44.09,44.53,38.94
P3,2026-05-12,11:23:22,35.78,42.5,39.22,39.23,41.88,36.0,39.43,35.78,44.32,36.9
P4,2026-05-12,11:23:22,38.84,36.01,38.32,42.25,39.97,38.29,43.47,44.51,42.3,40.6
P5,2026-05-12,11:23:22,43.01,35.52,44.4,39.45,35.89,43.51,35.36,39.05,44.84,37.04
P6,2026-05-12,11:23:22,42.85,35.92,36.76,37.51,39.67,38.72,41.52,36.4,39.1,41.03
P7,2026-05-12,11:23:22,36.77,38.29,41.82,44.35,44.92,44.02,41.73,39.53,41.06,39.4
P8,2026-05-12,11:23:22,42.23,35.98,37.21,36.18,40.19,39.77,40.13,40.03,43.67,38.93
P9,2026-05-12,11:23:22,41.65,36.87,35.15,39.74,36.56,43.53,38.22,37.29,38.53,37.32
P10,2026-05-12,11:23:22,40.72,38.23,38.37,35.66,42.65,40.34,37.98,44.17,36.94,40.22
